TeamId,TeamName,SubmissionDate,Score
7438595,Valliyappan Kr,9/19/2021 13:38,1
7399180,Kendrick Chin,9/19/2021 13:38,1
7441045,Henry Le #2,9/20/2021 9:00,1
7132795,Egor Evstratov,9/20/2021 12:21,1
7424636,Alexey Kapustin,9/20/2021 13:17,1
7016162,Basak,9/20/2021 18:44,1
5317237,Kelvin Chow,9/21/2021 8:28,1
1751752,Sachin Prabhu,11/18/2021 6:18,1
7179398,Jillani Soft Tech,9/22/2021 18:53,1
7452810,Jon1Snow23,10/2/2021 12:47,1
632227,ShunTsuruno,9/24/2021 3:02,1
5989955,Alex Maszanski,10/9/2021 17:39,1
7459411,Yosep Park,9/24/2021 9:08,1
7460606,[Deleted] 16bdd6b7-b1b8-4d95-98d3-18ceb88ccf92,9/24/2021 14:21,1
5616208,Tojo Hasina Rajaonarivo,9/24/2021 18:07,1
7464584,flsblg,9/25/2021 13:40,1
7468985,Tejas Suraj Koundinya,9/26/2021 13:45,1
6008594,Ridson Al,9/27/2021 3:39,1
6596616,Shayan Abbasi,9/27/2021 7:47,1
7474812,SABBIR AHMED,9/27/2021 16:39,1
7454145,NazunaY,9/29/2021 2:42,1
6165563,ZP Zhou,11/5/2021 9:30,1
7481351,Double P,9/28/2021 19:26,1
7484275,[Deleted] 6484f9cf-d6aa-481a-91e1-f5dd05b6fad0,9/29/2021 10:12,1
7486644,AmirReza Mokhtari Rad,9/29/2021 20:52,1
7487464,Leonardo de Paula,9/30/2021 2:57,1
7487788,asdas fddsad,10/2/2021 5:33,1
7489109,art3256435,9/30/2021 10:31,1
7490075,NVIDIA_RTX,9/30/2021 14:30,1
7490228,Grandmster,9/30/2021 15:10,1
7489701,Luong Duong Minh,10/1/2021 4:07,1
7494037,Kenith Philip,10/1/2021 11:17,1
7494311,Enes Yedikardes,10/1/2021 18:37,1
7470036,karatebakabon,10/12/2021 15:37,1
7170418,Benjamin Tay,10/3/2021 1:25,1
7499535,Janitha Welagedara,10/2/2021 15:50,1
7442887,Reveeng,10/2/2021 16:14,1
6666862,Rishi Patel #2,10/2/2021 16:48,1
5416872,S Sai Suryateja,10/3/2021 1:17,1
7101139,Lakshit #2,10/3/2021 2:21,1
7499091,Justin Tse C.H.,10/3/2021 6:08,1
7501191,Leannaxin,10/3/2021 5:31,1
6646564,weixian Yu,10/3/2021 12:53,1
6702808,Neelakash Chatterjee,10/3/2021 18:31,1
